白金汉宫国际商务娱乐会所,360203,广场南路温州商业街1区15179867149
青花瓷KTV,360203,广场南路,2187779
蓝爵娱乐,360203,陶玉路,8486313
宫廷一号,360203,陶玉路中段,2180966
糖果KTV,360203,浙江路,8277766
宝丽金商务会所,360202,庆和楼酒店浙江路分店对面,2199999
外滩一号,360203,沿河路,8461111
酷K量贩KTV,360203,广场南路东一区2-3号楼3楼,8568588
皇宫一号,360203,为宇路,8481800
奥金山,360203,新厂西路,8448855
白金汉宫商务会所,360202,广场南路,2199999
第九平道,360203,广场南路,8289666
金利来夜总会,360203,为宇路,18507981983
忘忧谷音乐会所,360203,广场南路,8287997
宝利来夜总会,360203,为宇路,7075119
魔方夜总会,360202,广场南路火凤凰音乐会所对面,8276111
景麦迪量贩KTV,360203,新天地6楼,2197799
皇嘉音乐会所,360203,沿河路戴家弄旁,13979869926
宝丽金夜总会,360203,广场南路温州商业街西1区5号,8293888
盛世豪门,360202,浙江路庆和楼后面,8568885
水长流歌行,360203,沿江东路136号,8645347
亿豪夜总会,360203,广场南路,8277786
高度音乐空间,360202,陶玉路,2192020
宝丽金,360281,珠海东路,6803888
缤纷年代KTV,360281,昌平路,6225999
金樽夜总会,360203,为宇路40号,8482098
火凤凰音乐会所,360203,广场南路,8295777
顶级KTV(景德镇店),360203,广场南路,8282222
漫菲KTV,360202,浙江路188号,8275757
快乐老家终极歌吧,360281,仿古商业街51号,6816860
泉水湾KTV,360203,广场南路106号,8277733
