幸福时光KTV,高区高区火炬路153号1F-4F,5691555
麦克小熊时尚主题量贩KTV,经区经济开发区上海路12号家世界转盘单行线东200米,5120288
宾戈量贩KTV,371002,和平路6号苏宁电器4楼,5229111
海都9号娱乐会所,371002,环海路9号,5260988
美乐迪KTV(侨乡大润发店),371002,新威路大润发超市南门1楼,5181077
糖果量贩KTV,371002,新威路28号,5232222
美乐迪KTV(经区店),经区海滨南路19号,5903355
钻石钱柜,371082,渔港路,7286555
乐吧量贩KTV,371081,文山路-西楼街交汇处,5632147
华乐迪量贩式KTV,经区青岛中路170号,3979999
星光大道量贩KTV,371002,和平路122号,5214555
麦度量贩KTV,371002,西北山路和文化中路交叉口华安大厦,5896999
KINGPARTY量贩KTV,经区经济开发区九龙城4楼,5970606
金时代娱乐会馆,371002,统一路53号10铺,5887333
美乐迪KTV,371081,海滨路,5181077
好地方休闲坊,371082,青山西路,7575868
果冻俱乐部量贩式KTV,371081,文山东路29号召文台公园往东350米红绿灯路北,8250456
太阳岛KTV,371081,柳营街金都大厦身后,8487959
麦度量贩KTV,高区文化东路50号小商品对面,5896999
大家乐KTV,371002,新威路威高广场4楼,3673555
美乐迪KTV(高区店),高区高区恒瑞街11号,5673355
芭堤雅娱乐会所,371002,统一路53号威尔商厦4楼,5273777
香车宝马娱乐会所,371002,统一路405号索非亚酒店1楼,5275399
7+7量贩式KTV,371081,天福路19号银河世家地下1楼,8357111
I-SHOW百分百纯K,371083,青山路57号,6710000
嘉乐迪量贩KTV,371082,成山大道西段,06317510777
钻石钱柜,371082,大润发附近,7624856
童话量贩式ktv,高区高区张村沈阳中路与长江街交汇处,5887666
大明会馆KTV,371002,张村长江街40号,5755556
HI-5钱柜KTV,371002,高新技术开发区古寨东路338号,5272222
文登糖果PARTY量贩KTY,371081,昆嵛路36号,8871777
神宫娱乐会所,高区威海市文化西路177号,5677778
乐够量贩式KTV,371082,山东省威海市371082,7523555
麦度KTV(荣成店),371082,成山大道中段,7680999
7+7量贩式KTV,371082,石岛镇黄海南路118号,7286111
唛歌KTV,371081,润泰国际居民小区11号3楼,8363355
怡百莹量贩式KTV,高区火炬南路507号,5756866
莉利夜总会,371002,长江街25号,5757958
凯帝KTV,371002,光明路60号,5234455
美乐迪KTV,371081,峰山路55,8483355
东方罗马KTV,371002,国际商务大酒店4楼,5188199
合声量贩KTV,371082,观海中路18号,7656666
8023量贩式KTV,经区经济开发区香港路西,5303666
0631CLUB,371082,成山大道东段阳光财富广场2号,7595758
帝豪KTV,371081,昆嵛路1号,3583666
钻石钱柜量贩式KTV(石岛店),371082,石岛渔人码头c座,7286555
世纪风情娱乐会所,371002,光明路,5224488
凯迪夜总会,371002,纪念路19号,5236888
海之音量贩KTV,经区海滨南路51号,5988009
皇朝娱乐会馆,371081,香山路44-2号,8455588
张祖贤,371002,高区13465119277
斯威特KTV,371002,海滨北路,5287000
果冻量贩式KTV,371081,文山路29号,8250456
好时光KTV,371081,文山路38号,8803555
天后站,371002,燕喜堂对面,13863164474
帝濠KTV,371002,山东省威海市371002,5229819
光明花园娱乐会所,371002,文化东路,18263173033
爱丽斯音乐馆,经区经济开发区青岛中路96号,5986060
威哈旅馆,高区高区威大街46号,5661376
乐神,371002,海港路82号,5285888
乐够量贩KTV(成山大道店),371082,成山大道中国银行对面,7523555
微米娱乐会所,371081,润泰国际购物广场11-19号,18606307821
