神话娱乐会所,城区沁园中路凯旋城西门口,6278888
零点KTV,410802,亚桥玉都酒店向东200米路南,6608088
真情,410802,丹尼斯隔壁5楼,6662222
凯旋酒会,410802,沁园路凯旋城450202,6620777
圣地亚歌ktv,城区御驾街四巷10号,6791610
帝昊音乐会所,城区古槐街29号,6686222
男妓,城区时代购物中心5层,6662222
星空音乐会所,城区泉水湾小区对面,6605588
源园歌厅,城区亚桥红绿灯向东300米路南,6605699
今晚8点KTV娱乐广场,410802,南街集贸市场南门,6703333
好声音ktv,410802,宣化街与关帝路交叉口西南角,18639133330
凯霖国际,410802,黄河大道与文昌路交叉口东南角,6661888
温莎ktv,城区滨河南路隆兴花园门口,2077888
紫禁城音乐广场KTV,城区沁园路44号,6613777
糖果时尚KTV,410802,时代广场丹尼斯西邻,6288111
英皇,城区工业学校向东60米路南,5596663
K8主题式氧吧音乐广场,城区宣化街,6666166
圣地亚歌,410802,沁园路与凯旋路交叉口往东100米路北,6612333
金碧辉煌量贩式KTV,城区沁园路御驾商务楼,6612666
阿凡达ktv,城区商业城,6612110
