名称,行政区域,地址,联系方式,,
紫星阁(白云店),440111,岗贝路138号2-3楼,62857999,,
至尊会KYV,440111,沙太路麒麟中街24号,61011101,,
云山音乐空间,440111,从云路,36600238,,
粤豪国际休闲会所,440111,嘉禾街鹤边鹤龙一路366-370号,66618888,,
粤豪纯K量贩式KTV,440111,鹤边路,86089999,,
御景世界KTV,440111,金沙洲彩缤北路恒大御景半岛恒大酒店内,81155668-3939,,
咏乐汇量贩式KTV(太和店),440111,太和中路86-96号来利大厦即海牙特酒店2楼,29079666,,
咏乐汇KTV,440111,广园中松柏东街7-9号好运宾馆1-3楼,86366668,,
咏乐汇(佰乐店),440111,三元里大道361-363号,86385999,,
永泰国际会,440111,白云大道北1396号,62639399,,
英皇国际Ktv,440111,嘉禾望岗,15626009949,,
银柜KTV,440111,广园新村金钟横路32号博雅假日酒店4楼,36481999,,
音乐汇量贩KTV,440111,黄边北路216号佳扬广场,36013802,,
星豪国际娱乐,440111,太和镇北太路1760号白云商务酒店5楼,15876535368,,
星光大道KTV,440111,金沙洲建设大道北3号膳待人生美食都汇4楼,89390666,,
新皇商务宾馆,440111,106国道,13668943328,,
新歌快线KTV,440111,齐富路33号广北酒店3楼,22855333,,
新歌KTV(人和店),440111,人和镇西成路8号,36551222,,
新川艺馆KTV,440111,广州大道北1838号南方医科大学蟾蜍石东路,61647315,,
小吧站,440111,白云大道北饮食文化长廊,36312068,,
喜歌量贩式KTV,440111,齐富路31号壹禾大厦1-4楼,36323666,,
五龙KTV,440111,钟落潭五龙岗村康杜岭自编8号,36761928,,
维加斯国际会所,440111,黄石路白云大道北168号百富广场3楼,13710404030,,
同德娱乐中心,440111,横滘二路65号,86482013,,
天空公馆,440111,江高镇江高商业步行街,86606828,,
桃乐会,440111,东坑街,36457196,,
堂会(白云店),440111,云霄路353栋5号停机坪3楼,83333999,,
顺景量贩式KTV,440111,远景路168号首层至3层韩国街,86279595,,
水木年华KTV,440111,解放庄北街2号永泰收费站,86330189,,
时尚100-KTV,440111,同泰路93-95号永泰时代广场4-5楼,28085100,,
声扬动力录音棚,440111,机场路124号音像城4楼c110室,84206090,,
秦蠃神仙乐,440111,机场路1814号,36300929,,
齐乐量贩KTV,440111,萧岗村新市南街33号,36218338,,
牛乐夜总会,440111,太和镇,87438238,,
名星会量贩式KTV,440111,小坪石夏路188号利嘉大厦4楼,26273123,,
名人会俱乐部,440111,机场路131号白云商业中心2楼,13533269309,,
名门,440111,石井街张村兆丰路38号,87640063,,
名馆量贩式KTV,440111,方华公路,62116868,,
魅力金沙量贩式KTV,440111,金沙洲环洲三路799号,86535658,,
唛王量贩式ktv,440111,星汇广场1楼,36713999,,
唛王KTV,440111,嘉禾鹤鳌公路501号星汇广场,36713999,,
麦霸KTv,440111,机场路1438号齐富路正阳大厦,61133633,,
乐满堂,440111,人和镇鹤龙六路187号华通广场2楼B253A号铺,86457050,,
蓝月亮国际会所,440111,北站603号维也纳酒店,36306718,,
莱宾斯基ktv,440111,岗贝路54号莱宾斯基大酒店内,13802920513,,
凯歌酒吧KTV,440111,新石路,36555585,,
凯歌会量贩式KTV,440111,金沙洲建设大道金沙财富广场5楼,89371999,,
卡卡KTV,440111,广州市440111,广州大道北梅花园商业广场4楼,61133633,
金座贵族式Ktv,440111,三元里大道1068号,86631999,,
金莎夜总会,440111,三元里大道北1496号,13802920513,,
金门皇宫夜总会,440111,同和路783号南湖旅游中心188号,13538790779,,
金禾宫国际会所,440111,龙归新石路557号华尔顿酒店4楼,66290333,,
金柜夜总会,440111,增槎路828号,81982998,,
金殿俱乐部,440111,云霄路自编353号五号停机坪购物广场内,29126688,,
金大钟KTV,440111,钟落潭广从七路800号,87459828,,
金巢娱乐量贩式KTV,440111,金沙洲国昌新城市广场4楼,89371558,,
江南水会,440111,增槎路798-828号,86477977,,
家乐迪量贩KTV,440111,北十二岭路26号双飞人商业大厦4楼,62686888,,
欢乐畅量贩式KTV,440111,西槎路111号百德商业广场2-3楼,86496018,,
鸿晖俱乐部,440111,西槎路鹅掌坦,86482318,,
合来会沐足休闲会所,440111,钟落潭镇大兴桥广从八路1号,87401038,,
好客来量贩式KTV,440111,龙归竹仔园西北街喜来时代广场3楼,36139333,,
海憬KTV,440111,石井石沙路1951号云海大厦,86020833,,
歌聚KTV,440111,同泰路永泰学山塘街73号3楼,36333331,,
歌会,440111,机场路579号,61198228,,
歌地量贩式KTV,440111,金沙洲建设大道金凯旋娱乐城3楼,89391118,,
歌城量版式KTV,440111,石井镇石槎路3号石井城市广场B座4楼,62137770,,
歌霸量贩式KTV,440111,广花路均和平沙好万家购物广场4楼,36771222,,
菲仕KTV(华成路店),440111,人和安置区华成路81号2楼,62721648,
哆来咪KTV,440111,人和镇鹤龙七路1号华尔达洒店2楼,36043199,,
丹丹,440111,广花一路,86029797,,
大咖KTV,440111,石马均禾广场,36090053,,
大歌星KTV,440111,云城东路505号万达广场B区2楼,86256666,
大都会KTV,440111,嘉禾106国道望岗段金禧大厦2-4楼,4000122666,,
大都会KTV,440111,嘉禾106国道望岗段金禧国际酒店内,66253556,,
城市Ktv,440111,江高镇家夏花三路38号宜多百货3楼,36771066,,
潮尚量贩KTV(京溪路店),440111,京溪路接近沙太路京海宾馆,87705677,,
畅歌KTV,440111,增槎路16号新云硫酒店3-4楼,81751888,,
伯爵宫馆,440111,白云大道北43号,86333328,,
飙歌KTV,440111,齐富路60号国港酒店2-3楼,86642812,,
白云葡京,440111,新市齐富路33号广北酒店,13104881278,,
白云金殿夜总会,440111,云霄路353号,22105605,,
白金汉宫俱乐部,440111,齐富路云丽酒店2-3楼,13802920513,,
白金汉宫,440111,齐富路1438号云丽大酒店4-5楼,28807777,,
白宫国际娱乐城,440111,白云大道1163号永泰大酒店,85548282,,
爱尚KTV(白云店),440111,西槎路99号骐利广场3-4楼,66610077,,
爱琴海KTV,440111,同泰路118号永泰站生活广场4楼,66315188,,
Mc叹号,440111,黄边北路汇金大厦符近,36088888,,
K歌会派对KTV,440111,机场路581号穗景大厦B栋首二层（御口福隔壁）,61198233,,
K歌非主流KTV,440111,大田东十七横8号,13533872353,,
ABC量贩式KTV,440111,松南路1号汇锦新天地广场B栋4楼,81970188,,
2008,440111,棠涌大街81号,86309588,,
引力国际,从化区从化市红荔路16栋红荔新村16栋,87982668,,
喜满堂,从化区从化市环市东路545号,37984189,,
乐游游俱乐部,从化区105国道旁街口凤院路口,4006652622,,
金满楼俱乐部,从化区从化市街口街河滨南路181号,37901818,,
歌域俱乐部,从化区从化市街口街东城路28号5幢,87930001,,
冲击波KTV,从化区从化市育新路8号,33206369,,
畅想国度,从化区从化市从城大道欣荣宏国际商贸城A区A栋,37907999,
WEN歌KTV,从化区从化市温泉镇龙岗龙泉路88号,87831218,,
JK夜总会,从化区街口逸泉山庄亲泉路1号逸泉国际大酒店,87808888,,
CoCo,从化区从化市街口街镇南路2号,87923828,,
畅想国度(东区店),黄埔区宏明路东区商业城4楼,62247466
真爱永恒(真爱永恒大石店),番禺区朝阳东路184号大石,13640791215,,
宇宙超人Fly,番禺区富豪街45号,84856103,,
银座KTV,番禺区市桥街禺山大道228号,39904009,,
银辉俱乐部KTV,番禺区东环路154号,28965367,,
音皇量贩式KTV,番禺区富华东路229号,31190055,,
夜明珠歌舞厅,番禺区南村镇,84762618,,
炫歌汇KTV,番禺区市桥大北路120号添怡酒店内,84830666,,
星豪国际,番禺区番禺大道北1号星河湾酒店内,13660243671,,
星光量贩KTV(繁华盛世店),番禺区繁华路90号繁华盛世商业城B1楼,39998999,,
星光量贩KTV(大石店),番禺区朝阳西路31号大石城5楼,39936999,,
星光量版KTV(大石店),番禺区大石朝阳西路31号大石城5楼,15013320083,,
新派KTV(惠信大厦店),番禺区番禺区迎宾路115号惠信大厦1-3楼,39230022,
新派KTV(北亭广场店),番禺区大学城外环西路368号北亭广场3楼,39230088,,
翔盈酒店KTV,番禺区石楼石清公路9号,84869888,,
现代卡拉OK歌舞厅,番禺区市桥西环路丹山路段,84663625,,
现代金石俱乐部,番禺区市桥西环路105号,84663658,,
喜悦KTV,番禺区光明北路169号,28965367,,
五线谱量贩式KTV,番禺区大石镇迎宾大道202号,66676001,,
堂会(番禺店),番禺区清河东路203号汇珑商业广场6楼,83333999,,
私窦(西丽店),番禺区市桥街西丽中路42号,22091234,,
世昌量版KTV,番禺区繁华路3号世昌大酒店,84888333,,
胜龙富氧量贩ktv(钟村街店),番禺区钟村街105国道钟村路段钟村市场侧,39207088,,
三泉公馆,番禺区塘步东村登云路9号,28937999,,
琴海KTV,番禺区市桥旧水坑美食广场,2039946289,,
千言万语KTV,番禺区大学城北一路贝岗村,84721498,,
名星会量贩式KTV(新城购物广场店...,番禺区洛浦街洛溪新城如意三马路193号新地购物广场3楼,66358160,,
名星会量贩式KTV,番禺区钟村二村胜石牌坊旁综合楼3楼,66358165,,
名星会KTV(洛溪店),番禺区洛浦街洛溪新城如意三马路193号新地购物广场3楼,66358160,,
名浩演艺,番禺区大学城商业北区N3,33328288,
名浩K-BOX,番禺区大学城商业北区N4A栋,39343330,
名城量贩KTV,番禺区南沙区东涌镇名苑别墅会所内,84903999,
咪乐量版KTV,番禺区塘步东村登云路9号新佳商场3室,28937999,,
咪乐KTV,番禺区南村登云大路9号,28937999,,
美丽会,番禺区石楼镇黄河路,84866333,,
君御会KTV,番禺区清河东路13号,28965367,,
京品会商务会所,番禺区渔民新村酒店4楼,39931588,,
劲派KTV,番禺区钟一村钟屏岔道39号3楼,80546868,,
金会国际,番禺区禺山西路333号,15975539799,,
金碧明珠,番禺区城市,28965367,,
家乐迪KTV,番禺区洛浦街沿沙路169号营邦综合楼B栋3楼,22860333,,
活力无限(番禺富丽广场店),番禺区大石街257-259号富丽广场5楼,84799998,,
皇子Club,番禺区富华东路82号,34801368,,
欢聚量贩KTV,番禺区石基镇莲塘路2号石基城市广场7座3楼,34885188,,
河南洛阳牡丹桥南移动铁塔,番禺区牡丹大道,13083622678,,
豪门,番禺区迎宾路,28965367,,
汉景银矿湾KTV,番禺区东环街榄塘路139号,66855113,,
歌王,番禺区市桥桥南路74号天空商业城3、4楼,84881222,,
歌神KTV(洛溪新城店),番禺区洛溪新城洛浦路奥林匹克广场歌神娱乐中心2、3楼,34522970,,
富仕俱乐部,番禺区东环街东沙村口,84665678,,
富华KTV,番禺区清河东路138号,34565628,,
粉红杯西餐厅,番禺区小谷围大学城东门广场7号2楼,39318773,,
飞扬八八量贩式KTV,番禺区市桥镇平康路288号飞扬八八商务酒店内,66603336,,
飞扬88,番禺区兴泰路,28965367,,
番禺音乐路,番禺区市桥禺山大道172号,84661110,,
番禺宾馆名会KTV,番禺区大北路130号番禺宾馆娱乐城2楼,84880268,,
东方燕,番禺区市桥西环路105号,13902286881,,
第七感觉量贩式KTV,番禺区105国道大石段480号105新地广场3-4楼,39939966,,
百乐门,番禺区大石镇大石桥旁,84796208,,
百老会俱乐部,番禺区德兴大桥北端,34627618,,
百花歌舞厅,番禺区西门南路110号,15975593982,,
爱尚KTV(市桥店),番禺区桥南街南华路25号,84825888,,
V-BOXKTV,番禺区大学城贝岗村中二横路1号GOGO新天地商业广场4楼,39158222,,
MiNi量贩式KTV,番禺区市莲路石岗东村段41号玉秀广场4楼,39132121,,
K歌王(番禺店),番禺区禺山大道81号新世界大厦副楼1-6楼,66866666,,
k歌王,番禺区市桥大西路,66866666,,
KPARTY量贩式KTV(市桥店),番禺区富华东路37号,39995588,,
K-BOXKTV,番禺区小谷围街大学城综合商业北区,39310407,
KBOXKTV,番禺区外环西路,39343330,,
ABC量贩式KTV(市桥店),番禺区桥南路50号98号3楼及4楼,84883222,,
ABC量贩式KTV,番禺区大学城中环西路230号广大商业中心C区3楼,39341118,
