第5大道KTV,441521,二环西路方太广场,6226555
新世界娱乐中心,441581,碣石镇皇宫路1号,8871333
天马俱乐部,441521,云峰路,6856666
西江月,城区文明路7-9号,3389999
皇庭国际,441521,海城镇二环路,6817777
金莎,441521,人民东路,6694999
金煌俱乐部,城区文明路北段,3382222
YCKTV,城区二马路321号,3334222
帝豪俱乐部,城区通港路,3565999
蓝水晶KTV俱乐部,441521,梅陇镇银沙网吧2楼,6782222
魅力会,城区香洲路,3692222
冰力十足KTV,城区城内路84号,3215366
湖明园卡拉OK,城区241省道,3452828
英爵KTV,城区文明路138号,3203663
豪门酒店,441581,甲子镇,8926888
东方滚石吧KTV,441521,广富路,6683333
钱柜量贩式KTV,441581,东海镇洛洲小区小天鹅幼儿园边内,8818333
YC-2KTV,城区城南路,3228111
钻石俱乐部,441523,陆河大道岁宝百货2楼,5522999
Q8KTV,城区春晖路38号,3215456
世纪汇俱乐部,城区汕尾大道,3569666
精灵,441521,老车头好声音KTV,6368388
聚得乐KTV,441521,三环路,6162888
YC3KTV,城区大马路112号附近,3204555
皇朝富鑫娱乐会所,441521,红城大道西,6359999
豪廷娱乐会所,441521,梅陇镇广汕公路边,6660666
8号公馆KTV,441581,甲子镇鹏兴路8号,8921999
酷比168KTV,441521,梅陇镇梅陇村委西兴一区梅兴综合市场2楼西,6783000
海明珠豪都会,441521,广富路666号,6888666
凯之都KTV酒吧,城区和顺路,3282789
本色KTV,城区汕尾大道,3316328
一乐城夜总会,城区二马路,3317888
乐豪KTV,城区新城二街2号附近,3561333
海港明珠KTV,城区汕尾大道海港大厦2-3楼,3216999
夜吧KTV,城区通航路东郊一巷3-6号,3272555
豪城娱乐园,城区腾飞路11号,3292336
金色年华,441581,南堤路1号,8994444
黑客帝国KTV,城区城南路17号,3290678
飓风KTV,城区通港路127号,3212555
怡乐汇KTV,城区文明南路中152号,3330777
红柜KTV,城区海滨路44号附近,3270777
海鸿俱乐部KTV,441581,338省道,8226789
嘉皇,441581,龙山路69号,8888828
夜都KTV,城区通航路友谊大厦,3283777
地中海,城区大马路261号附近,3336288
音乐谷,城区通港路112号,3216600
富城酒店,城区242省道72号,6688348
