魔方KTV(第一国际店),南城区鸿福路200号第一国际7区3楼,22858599
Music钱柜氧吧KTV(寮步店),寮步镇,寮步镇兴隆新街13号楼2-3楼,81108699
帕罗蒂量贩式KTV,清溪镇,香芒西路电子城3楼,82851888
金座酒店,厚街镇,新厚沙路15号,89988188
乐欢天氧吧量贩KTV,寮步镇,教育路106号三层,82310999
欢天喜地娱乐城,清溪镇,三中地王城2楼,86816009
GOLDEN钱柜KTV(业丰店),大朗镇,金朗中路20号3-5楼,83310555
盛泰缘梦酒店KTV,塘厦镇,高裕北路219号,82772888
流金岁月,万江区都会广场B-119号,23151197
自由吧,万江区下坝坊237号,13316886601
斑马线KTV,企石镇,企石镇下截村彭城路28号,81236868
和谐量贩KTV,茶山镇,金沙湾4层,82299332
金至尊休闲会所,长安镇,沙头西大街,85422333
阿文量贩式KTV,塘厦镇,138工业区新大新后广场2楼,87932981
音乐魔方KTV(石排店),110101,第一国际D座4楼,22858599
朝歌量贩KTV,松山湖高新区大岭山镇一路192号,82780888
悦华大酒店卡拉OK,常平镇,商业大街东兴路275号,83336888
魅力派对,南城区西平美森酒店3楼,28828899
星光大道量贩KTV(厚街镇店),厚街镇,厚街镇寮厦村彩云路和丰大厦2楼,18820607321
金樽量贩式KTV,茶山镇,南新华富酒店2楼,82667188
亚马逊娱乐城,常平镇,常平镇梵尔赛路,83816888
人和量版式KTV,南城区白马荣鑫商贸城银来街2楼,22986818
时光隧道(沙头店),长安镇,沙头社区东大路26号影都2楼,82198222
劲歌KTV,110101,运河东一路89号,22011803
响亮氧吧量贩式KTV(莞温路店),110101,莞温路温塘中路383号,82315358
天王星氧吧量贩KTV,110101,东城大井头振兴路259号,23601363
时尚领域KTV,其他,雁田明贤学校附近,82081388
晟会量贩式KTV,长安镇,长安镇横增路62号健逸天地2楼,81287888
金沙水会,樟木头镇,广场路1号金杭酒店3楼,86901602
帆船酒店KTV,常平镇,天鹅湖路帆船酒店内,81899888
欢乐驿站KTV,其他,下岭贝步行街富佳广场A栋2楼,82393111
