童话KTV,东区炳草岗大街81号炳草岗中心广场,3500002
商厦歌舞,东区十九冶医院旁,3310123
九州莺歌,510411,新视窗仁和宾馆旁边,13096091111
新龙江,东区炳草岗大街,3550006
清心雅集,东区新公路,15881277223
名锐娱乐会所,东区隆庆路,6688688
欢乐谷KTV,东区玉泉广场下面,5551777
凤凰歌城量贩KTV,东区川惠大酒店北面,6662832
正点KTV,东区激情广场,13982390418
山石久镀吧KTV,东区炳草岗大梯道商业城2期,3344355
浪声皇家商务会所,东区花城上街23号,3341000
领秀魅惑娱乐汇,东区攀枝花大道东段,3557777
大富豪KTV,西区玉泉广场,5505588
新飞天夜总会,东区金宇巷,2510015
星光灿烂,东区攀枝花大道东段888号,3339599
满庭芳KTV歌城,510411,城中街138号,8170083
观音岩水吧,西区观音岩水电站大堡市场附近,15912780998
罗码音乐广场,东区攀枝花大道东段535号,3345511
个性空间音乐吧,510411,仁和派出所斜对面,13982389965
紫金花休闲会所,东区人民街332号,3552666
壹加壹时尚音乐空间,东区攀枝花大道中段452号,2517899
水泊梁山KTV,东区陶家渡西路4号,13698203280
鸿运KTV,东区木棉路,2311163
滚石歌城,东区人民街,3550505
黑金音乐磁场,510411,和润小区附近,15881294023
金梦佳休闲娱乐城,510411,彩虹路,6630328
欢乐时光KTV量贩歌城,510411,文体路,8173088
音凰阁,东区人民街444号,3366888
MINICLUB,东区凤凰东街,3557999
阳光歌舞,东区中环北路8号,6858986
大闹天宫歌城,东区弄弄坪西路345号,5918528
新朋源KTV,510411,仁和派出所斜对面,13219807529
欢唱音乐空间,东区攀百大厦,2260111
快乐驿站,510411,仁和派出所斜对面,15281200149
江帆KTV,东区弄弄坪中路与枣子坪下街交叉口南面,3311377
梦回唐朝,东区五十一公里人行天桥,22220706
昆明华港饲料特约经销,510411,土城街,2911434
月色撩人,东区隆庆路,5150055
美音美音乐会所,东区弯庄歌城(左行150米),18681289919
