帝皇休闲会所,华蓥市滨江路北段8号1-1,2160567
盛世英皇,华蓥市交通局对面,4898345
快车道恋歌城,511602,环形巷160号,8316330
避风港,511602,西溪新城,2226500
辉煌音乐空间,511623,古邻大道南段,3250088
玫瑰乐音乐城,511602,环形巷160号,8316118
动感地带歌城,511602,环西一路风情啤酒一条街9号楼,2679555
豪情天下娱乐会所,511602,前锋镇六条街,2811345
畅享KTV,511602,环溪二路336号,2250555
银星歌城,华蓥市区建行,2888786
海纳精品KTV,511622,振兴路19号,6681333
皇家都会,华蓥市红星五路御景花园大门口,4866666
军港之夜风情啤酒吧,511602,环溪一路欧典水乡附近,2604333
激情狂想,511602,前锋区三条街文化广场,2752666
魅影国际娱乐会所,511602,城南西溪新城阳光西岸正大门右侧,2635555
小夜曲KTV,511623,鼎屛镇达子丘古邻大道9号,3220989
盛世音凰娱乐会所,511602,环溪一路欧典水乡附近,2737777
卓玛印象KTV,511602,美好家园建材城旁,8888968
大都会量贩KTV,511621,花园大酒店3楼,5687777
德玛西亚氧吧主题ktv,511621,钻石酒店斜对面2楼,5897555
皇家7号,511602,金安大道上段家园建材市场对面,2357777
帝豪娱乐会所,511622,人民南路1号,6666678
卢浮宫娱乐会所,511602,滨江路中段(避风港对面),2225666
浅水湾KTV,511602,环溪一路欧典水乡附近,2606999
花样年华,511602,西溪路193号,2622268
好声音音乐氧吧会所,511621,富发城1楼,5888555
诺亚方舟,511602,环溪一路452号,2259888
铂金休闲娱乐会所,511602,城北滨江路,2651999
顶尖KTV娱乐会所,511602,环溪一路423-8号,2583333
下一站音乐会所,511621,安拱路,5307996
星光大道娱乐会所,511602,环溪一路欧典水乡附近,2888133
激情狂想,511602,商贸街,2752666
蓝色港湾,511602,西溪路锦绣·阳光西岸附近,2122555
阿萨迪娱乐会所KTV歌城,511623,云峰路,3232666
自由世界KTV,511602,西溪路丽都花园旁,2396308
8号公馆,511602,环溪一路423-23号,2631888
花雨满天KTV,511602,环溪一路322号,2396938
天马星空娱乐会所,华蓥市渠水路28号星星宾馆,4836666
紫金王朝休闲会所,511602,城北体育场内,2252228
歌迪,511602,环溪一路270号,15082682403
下一站音乐会所,511602,师范街,5307996
城市聚点娱乐会所,511602,金安大道上段西溪花园旁,2737999
K歌之王,511621,体育路,7578222
非常爱,华蓥市滨河西路,5305888
天外天歌友会所,511602,金安大道上段家园建材市场附近,2331523
星际娱乐会所,511623,坛同金坛街,3505555
金紫煌娱乐休闲会所,511602,金安大道上段西溪花园旁,2122001
欧咔KTV,511621,石桥街龙泳佳景后大门,5886699
思源大酒店,511602,广安,4666666
星光灿烂娱乐会所,511602,环溪一路423-2号,2677111
邻州音乐港,511623,邻州大酒店4楼,3290789
音皇KTV,511622,振兴路,6238123
帝皇KTV,511623,上甲31号克拉,8333888
皇钻休闲会所,511602,城北体育场内,8322128
天韵量贩歌城,511602,环形巷68号,2343000
皇冠歌城,511621,大西街,5203811
唱响天下KTV,511602,环溪一路311号,2609966
哥伦比亚娱乐会所,511602,环溪二路山水居附近,8888868
江源KTV娱乐城,511602,滨江路北段6-9号,2239856
0826铜锣湾,511602,滨江路北段1-9号,13688268088
波音港,511623,宁安巷,3210000
音乐战国KTV,华蓥市滨江路段8号1-3号,2232777
盛世唐朝量贩歌城,511622,人民南路,6665222
真爱2008歌城,511622,人民南路231号,6200335
中天音乐会所,511602,前锋区前锋镇,15282661130
精典歌城,511622,人民南路231号,6225620
国色天香歌城,511602,环溪二路在水一方附近,13551621182
红磨坊歌城,511622,人民南路231号,6212022
新时代娱乐会所,511622,五十米大街,6663222
凤舞九天KTV,511602,环溪一路423-11号,2621777
阿玛尼洗护(广安店),511622,啤酒厂转盘处,6666363
滨江水岸,华蓥市滨江路北段6-4号,2222007
铂宫贵宾俱乐部,511602,环溪二巷美茵水岸附近,2662222
回归2046数码量贩KTV,511622,人民南路,6222046
愚人码头,511602,三圣街99号,15882588268
飚·歌城KTV,511602,五福西路301号,2185555
Fgfffftt,511602,广泛,2147789
豪门KTV,511602,会展街209号,5192999
同乐湾,511621,广南高速连接线,5897666
雕琢时光,511602,金安大道上段家园建材市场附近,2321361
红宝石KTV,511602,滨江路南段3-6号,2606328
沸点100KTV,511602,西溪路锦绣·阳光西岸附近,13982613030
