唯客量贩式KTV,七星关区学院路毕节学院旁100米,08578737666
夜宴KTV,522422,奢香大道中段,5688889
奥古斯塔,522424,旭华路8号,7383888
大众国际KTV,七星关区翠屏路12号大众国际酒店,8988886
君临帝都,522424,新车站下20米,7239999
天上人间,522424,河滨路201号,7215555
皇宫KTV,七星关区洪南路与洪山南路一巷交汇处,8576999
辉煌时光KTV,522428,小康路,3226222
极度●红伟俱乐部,七星关区东升路金源达B栋2楼,8468888
金城168俱乐部,七星关区洪南加油站斜对面,8250348
丽都会KTV,七星关区环东路,8571888
澳斯特,522424,一中路,7218888
阳光欢唱KTV,七星关区城馨苑对面,8311666
CC音乐主题酒吧,522424,长安路,18230871211
御歌汇kTv,七星关区七星关区公园路,5688889
新摇篮KTV(毕节店),七星关区清毕路长弘花园2号楼2-4楼,7187999
回眸今宵,七星关区河滨路,7225968
欢唱KTV,522425,法新路,15902586194
皇家壹号,七星关区北门,3546854
1+1KTV俱乐部,七星关区麻园大道,8277888
本色俱乐部,七星关区洪山路与七二三县道交汇处,7105555
帕拉摩尔KTV,七星关区建设西路,6728288
