名称,内容
象牙红量贩KTV(本色店),430103,坡子街169号,82139999
白金汉宫娱乐会所,430121,开元西路湘绣城,88421777
唯歌KTV,430104,金星大道311号,88790666
晚风KTV(天马店),430104,阜埠河路20号,88863388
夜色百度KTV,430103,解放西路269号三王丽都大厦1-2楼,85868999
红歌汇,430102,芙蓉中路二段1号,82230999
温莎KTV量贩(王府井店),430102,黄兴中路27号王府井百货,82827777
麦旋风KTV(银港水晶城店),430102,万家丽北路三段569号银港水晶城C1栋4001号铺,88837333
星籁KTV量贩,430104,咸嘉湖西路676号,89789999
歌乐迪KTV(白沙南路店),430103,白沙南路星电宾馆3楼,85262228
温莎KTV量贩(五一广场店),430105,黄兴中路168号新大新1楼,82827777
温莎KTV量贩(解放东路店),430102,解放东路281号,82827777
新农大酒店KTV,430102,农业大学新农大酒店1楼,13787175511
瑞腾量贩式KTV,430102,人民东路新润市场1栋,88627448
新麦客量贩KTV(乐和城店),430102,黄兴中路188号乐和城4楼,89929955
金麦乐KTV,望城区金牛路88号,84268888-8488
弗洛KTV,430103,解放西路346号魅力四射酒吧3楼,4000011010
大歌星KTV,430102,万达广场1号门4楼,4000034567
新麦客量贩KTV(精彩店),430102,晚报大道218号精彩生活4楼,88641666
云鼎量贩式KTV(金盆岭店),430103,赤岭路68号白沙花园1号楼3楼,83888988
睿思量贩KTV,430111,万家丽中路三段59号喜乐地购物中心4楼,88281377
新麦客量贩KTV(五一店),430102,黄兴南路407号苏宁电器6楼,4000731321
好声音KTV量贩,430111,万家丽中路36号喜盈门范城3栋4楼,85860000
大歌星量贩KTV,430105,湘江中路万达百货4楼,85991555
歌谷3D量贩KTV,430104,金星中路438号湘腾城市广场2楼,85339898
新麦客量贩KTV(芙蓉店),430102,芙蓉路与人民路交界,4000731321
新麦客量贩KTV(东塘店),430111,韶山中路180号东塘南交易大楼4-5楼,84112555
云鼎量贩式KTV(雨花亭店),430111,韶山中路雨花亭北云鼎公馆4楼,89822008
海高美KTV量贩,430104,枫林一路43号,89751111
维度量贩KTV,430104,河西鱼湾商业广场麓枫华天假日酒店三楼,89661919
